,DS_PS_in(%),VS_PS_in(%),DS_WS_in(%),VS_WS_in(%),DS_Digester(%),DS_eff(%),VS_eff(%),ALK(mg CaCO3/L),FA(mg/L),pH,T(°C),Q_PS/Q_WS,Q_PS_in(m³/d),Q_WS_in(m³/d),Q_Total(m³/d),Q_eff(m³/d),Q_Biogas(Nm³/d),Pre_DS_eff(%)
2014-01-13,4.375,73.99000000000001,6.675,77.5255,3.7329999999999997,3.5725,57.71,15917.7,1249.6,7.208,40.269999999999996,1.1446934739617667,1068.0,936.0,2004.0,1500.0,57744.0,3.4713686
2014-01-14,4.513333333333333,74.20666666666666,6.4799999999999995,77.48033333333333,3.7066666666666666,3.61,58.053333333333335,15792.8,1242.8,7.208666666666666,40.14,1.12085255987695,1064.0,952.0,2016.0,1512.0,56568.0,3.4730515
2014-01-15,4.6516666666666655,74.42333333333333,6.285,77.43516666666667,3.6803333333333335,3.6475,58.39666666666667,15667.9,1236.0,7.2093333333333325,40.010000000000005,1.0970116457921337,1060.0,968.0,2028.0,1524.0,55392.0,3.4730515
2014-01-16,4.789999999999999,74.64,6.09,77.39,3.654,3.685,58.74,15543.0,1229.2,7.209999999999999,39.88,1.0731707317073171,1056.0,984.0,2040.0,1536.0,54216.0,3.4730515
2014-01-17,4.859999999999999,73.315,5.49,77.489,3.706,3.655,59.45,14633.433333333334,1206.4,7.205999999999999,39.940000000000005,1.1,1056.0,960.0,2016.0,1536.0,51912.0,3.4503205
2014-01-18,4.285,73.672,6.035,77.57300000000001,3.706,3.775,59.44,18218.0,1296.0,7.221999999999999,40.24,1.1,1056.0,960.0,2016.0,1464.0,53928.0,3.4730515
2014-01-19,4.99,68.26,6.305,76.58,3.654,3.595,60.09,14753.833333333334,1236.4,7.194,40.24,1.1842105263157894,1080.0,912.0,1992.0,1416.0,53688.0,3.4655893
2014-01-20,3.96,72.64600000000002,6.045,77.65899999999999,3.608,3.735,60.82,16398.0,912.0,7.194,40.2,0.9318181818181818,984.0,1056.0,2040.0,1536.0,51648.0,3.4588459
2014-01-21,4.1475,73.9715,5.825,78.0115,3.6049999999999995,3.635,60.995000000000005,15667.783333333335,1063.6,7.221,40.230000000000004,0.9659090909090908,1032.0,1068.0,2100.0,1572.0,48048.0,3.4496033
2014-01-22,4.335,75.297,5.605,78.364,3.6019999999999994,3.535,61.17,14937.56666666667,1215.2,7.248,40.260000000000005,1.0,1080.0,1080.0,2160.0,1608.0,44448.0,3.4503205
2014-01-23,5.49,65.43,5.5,77.38,3.588,3.53,60.69,14946.1,1186.0,7.232000000000001,40.260000000000005,0.9361702127659576,1056.0,1128.0,2184.0,1656.0,46968.0,3.4491105
2014-01-24,5.178333333333334,69.08333333333334,5.615,77.42666666666666,3.5653333333333332,3.52,61.193333333333335,14882.011111111111,1202.8,7.229333333333334,40.220000000000006,0.9907801418439718,1056.0,1072.0,2128.0,1600.0,48928.0,3.4503205
2014-01-25,4.866666666666666,72.73666666666666,5.7299999999999995,77.47333333333333,3.542666666666667,3.51,61.696666666666665,14817.922222222223,1219.6000000000001,7.226666666666667,40.18,1.0453900709219859,1056.0,1016.0,2072.0,1544.0,50888.0,3.4503205
2014-01-26,4.555,76.39,5.845,77.52,3.52,3.5,62.2,14753.833333333334,1236.4,7.223999999999999,40.14,1.1,1056.0,960.0,2016.0,1488.0,52848.0,3.4559672
2014-01-27,4.49,75.297,5.779999999999999,78.36399999999999,3.5140000000000007,3.52,62.27,17658.0,1176.0,7.212000000000001,40.2,1.1794871794871795,1104.0,936.0,2040.0,1488.0,43848.0,3.4535065
